input,instruction,output
akâay múthyur?,translate from karuk to english,Whose car?
Whose car?,translate from english to karuk,akâay múthyur?
múthvaay tóo kúha.,translate from karuk to english,His chest hurts.
His chest hurts.,translate from english to karuk,múthvaay tóo kúha.
xayfáat iim vishvánkaam.,translate from karuk to english,Don't get a big belly.
Don't get a big belly.,translate from english to karuk,xayfáat iim vishvánkaam.
ithítiv hum?,translate from karuk to english,Did you hear it?
Did you hear it?,translate from english to karuk,ithítiv hum?
puxich tuyúnyuunha.,translate from karuk to english,He's really crazy.
He's really crazy.,translate from english to karuk,puxich tuyúnyuunha.
íkiich vúra xára vúra tá níkrii.,translate from karuk to english,Maybe I have lived a long time.
Maybe I have lived a long time.,translate from english to karuk,íkiich vúra xára vúra tá níkrii.
arara'íshpuk hum?,translate from karuk to english,[Do you mean] Indian money?
[Do you mean] Indian money?,translate from english to karuk,arara'íshpuk hum?
vúra ípih uum tóo spat.,translate from karuk to english,Her leg is broken.
Her leg is broken.,translate from english to karuk,vúra ípih uum tóo spat.
pay uum vaa kunipítih.,translate from karuk to english,They are saying that.
They are saying that.,translate from english to karuk,pay uum vaa kunipítih.
Arch vúra tóopiip hum?,translate from karuk to english,Did Arch say that?
Did Arch say that?,translate from english to karuk,Arch vúra tóopiip hum?
koovúra kunpavyíishipeesh payêem.,translate from karuk to english,They are all going to go back home now.
They are all going to go back home now.,translate from english to karuk,koovúra kunpavyíishipeesh payêem.
páykuuk uum papôos.,translate from karuk to english,The boss is over there.
The boss is over there.,translate from english to karuk,páykuuk uum papôos.
Arch uum tuthítiv.,translate from karuk to english,Arch is listening.
Arch is listening.,translate from english to karuk,Arch uum tuthítiv.
tóo páachur pamu'íshkiit.,translate from karuk to english,She lost her luck.
She lost her luck.,translate from english to karuk,tóo páachur pamu'íshkiit.
vaa apxantínihichas panuchuphuníshkoonaatih.,translate from karuk to english,We are talking to those white people.
We are talking to those white people.,translate from english to karuk,vaa apxantínihichas panuchuphuníshkoonaatih.
yáxa páykuuk káru apxantínihich káru pay apxantínihich káru pay apxantínihich,translate from karuk to english,Look at the white person over there and that white person and that white person.
Look at the white person over there and that white person and that white person.,translate from english to karuk,yáxa páykuuk káru apxantínihich káru pay apxantínihich káru pay apxantínihich
araráhih níchuupha.,translate from karuk to english,I am speaking Indian language.
I am speaking Indian language.,translate from english to karuk,araráhih níchuupha.
kunyunyúunhinaatih.,translate from karuk to english,They are all crazy.
They are all crazy.,translate from english to karuk,kunyunyúunhinaatih.
pay vúra uum uxutih iyunyúunhitih.,translate from karuk to english,He [that one] thinks you are crazy.
He [that one] thinks you are crazy.,translate from english to karuk,pay vúra uum uxutih iyunyúunhitih.
uum vaa páykuuk vúra uum vaa yav.,translate from karuk to english,"The one over there, she's good."
"The one over there, she's good.",translate from english to karuk,uum vaa páykuuk vúra uum vaa yav.
"hãã, vaa amáyav patáay ni'ávat.",translate from karuk to english,"Yes, what I ate was good."
"Yes, what I ate was good.",translate from english to karuk,"hãã, vaa amáyav patáay ni'ávat."
koovúra panitháfiiptih.,translate from karuk to english,I ate all of it.
I ate all of it.,translate from english to karuk,koovúra panitháfiiptih.
púfaat naníshpuk.,translate from karuk to english,I don't have any money.
I don't have any money.,translate from english to karuk,púfaat naníshpuk.
tóo mnish pa'áama.,translate from karuk to english,She cooked the fish.
She cooked the fish.,translate from english to karuk,tóo mnish pa'áama.
pa'áama tóo mnish.,translate from karuk to english,She cooked the fish.
She cooked the fish.,translate from english to karuk,pa'áama tóo mnish.
vúra uum yav.,translate from karuk to english,It is good.
It is good.,translate from english to karuk,vúra uum yav.
pa'áama tóo mnish vúra uum kúnish ikxáramkunish.,translate from karuk to english,"She cooked the fish, it was black."
"She cooked the fish, it was black.",translate from english to karuk,pa'áama tóo mnish vúra uum kúnish ikxáramkunish.
tu'íinka.,translate from karuk to english,It burned.
It burned.,translate from english to karuk,tu'íinka.
pa'áama tóo mnish xás vúra tu'íinka.,translate from karuk to english,She cooked the fish and it burned.
She cooked the fish and it burned.,translate from english to karuk,pa'áama tóo mnish xás vúra tu'íinka.
pa'áama tóo mnish xás tu'íinka.,translate from karuk to english,She cooked the fish until it burned.
She cooked the fish until it burned.,translate from english to karuk,pa'áama tóo mnish xás tu'íinka.
xás ikxáramkunish.,translate from karuk to english,Then it was black.
Then it was black.,translate from english to karuk,xás ikxáramkunish.
pa'ápxaan tu'íinka.,translate from karuk to english,The hat burned.
The hat burned.,translate from english to karuk,pa'ápxaan tu'íinka.
pa'ápxaan vúra tu'íinka ikxáramkunish.,translate from karuk to english,The hat burned black.
The hat burned black.,translate from english to karuk,pa'ápxaan vúra tu'íinka ikxáramkunish.
tóo kxáramkunish.,translate from karuk to english,It is blackened.
It is blackened.,translate from english to karuk,tóo kxáramkunish.
táay vúra paxuntápan ífikeesh.,translate from karuk to english,You will pick up a lot of acorns.
You will pick up a lot of acorns.,translate from english to karuk,táay vúra paxuntápan ífikeesh.
tóo xyar.,translate from karuk to english,It is full.
It is full.,translate from english to karuk,tóo xyar.
táay vúra ífikeesh paxuntápan.,translate from karuk to english,Pick up lots of acorns.
Pick up lots of acorns.,translate from english to karuk,táay vúra ífikeesh paxuntápan.
vúra tóo xyar pa'átimnam.,translate from karuk to english,She packed the basket full.
She packed the basket full.,translate from english to karuk,vúra tóo xyar pa'átimnam.
tóo yrúhunih.,translate from karuk to english,It rolled away.
It rolled away.,translate from english to karuk,tóo yrúhunih.
úyrúuhsip.,translate from karuk to english,It is rolling away.
It is rolling away.,translate from english to karuk,úyrúuhsip.
papúsihich tóo skákuraa pa'amkírak.,translate from karuk to english,The cat jumped up on the table.
The cat jumped up on the table.,translate from english to karuk,papúsihich tóo skákuraa pa'amkírak.
papúsihich tóo skákuraa amkiravásih.,translate from karuk to english,The cat jumped on the table.
The cat jumped on the table.,translate from english to karuk,papúsihich tóo skákuraa amkiravásih.
papúsihich tóo skákunih.,translate from karuk to english,The cat jumped onto the ground.
The cat jumped onto the ground.,translate from english to karuk,papúsihich tóo skákunih.
pa'ávansa tóo path pa'unúhxiitich xas ikrivkírak.,translate from karuk to english,The man threw the ball on the chair.
The man threw the ball on the chair.,translate from english to karuk,pa'ávansa tóo path pa'unúhxiitich xas ikrivkírak.
pa'ipaha tóo kyívishrih.,translate from karuk to english,The tree fell.
The tree fell.,translate from english to karuk,pa'ipaha tóo kyívishrih.
pa'ípaha vúra yáv tóo kyívish.,translate from karuk to english,The tree fell down good.
The tree fell down good.,translate from english to karuk,pa'ípaha vúra yáv tóo kyívish.
a' tupáathuraa pa'ípahak pa'unúhxiitich.,translate from karuk to english,He threw the ball up into the tree.
He threw the ball up into the tree.,translate from english to karuk,a' tupáathuraa pa'ípahak pa'unúhxiitich.
ípahak tupáathka.,translate from karuk to english,He threw it to the tree.
He threw it to the tree.,translate from english to karuk,ípahak tupáathka.
tupáathunih.,translate from karuk to english,He threw it down.
He threw it down.,translate from english to karuk,tupáathunih.
a' tupáathunih ípahak.,translate from karuk to english,He threw it down in the tree (from above).
He threw it down in the tree (from above).,translate from english to karuk,a' tupáathunih ípahak.
uktinvunáatih.,translate from karuk to english,She is hitting them with rocks.
She is hitting them with rocks.,translate from english to karuk,uktinvunáatih.
sára mûuk tóo ktinvunaa.,translate from karuk to english,She hit them with bread.
She hit them with bread.,translate from english to karuk,sára mûuk tóo ktinvunaa.
pasára vúra tóo ktinvunaa táay pa'áraaras.,translate from karuk to english,She threw bread at a lot of people.
She threw bread at a lot of people.,translate from english to karuk,pasára vúra tóo ktinvunaa táay pa'áraaras.
pa'sára vúra tóo ktir.,translate from karuk to english,He threw the bread at him (and hit him).
He threw the bread at him (and hit him).,translate from english to karuk,pa'sára vúra tóo ktir.
tóo ktir pa'ávansa.,translate from karuk to english,She threw it at the man (and hit him).
She threw it at the man (and hit him).,translate from english to karuk,tóo ktir pa'ávansa.
pa'ás mûuk vúra tóo ktir pa'ávansa.,translate from karuk to english,She hit the man with rocks.
She hit the man with rocks.,translate from english to karuk,pa'ás mûuk vúra tóo ktir pa'ávansa.
xáyfaat ishkáakatih.,translate from karuk to english,Stop jumping on it.
Stop jumping on it.,translate from english to karuk,xáyfaat ishkáakatih.
xáyfaat i'áamtih.,translate from karuk to english,Don't be eating.
Don't be eating.,translate from english to karuk,xáyfaat i'áamtih.
tóo yúuhva.,translate from karuk to english,She (the cat) threw up.
She (the cat) threw up.,translate from english to karuk,tóo yúuhva.
papúsihich tóo yúuhva.,translate from karuk to english,The cat threw up.
The cat threw up.,translate from english to karuk,papúsihich tóo yúuhva.
papúsihich tóo msákar.,translate from karuk to english,The cat is sniffing at it.
The cat is sniffing at it.,translate from english to karuk,papúsihich tóo msákar.
papúsihich tóo msákar papûuvish.,translate from karuk to english,The cat is sniffing the bag.
